,Player,Tm,TRB,AST,STL,BLK,PTS
386,Jamal Murray,DEN,214,170,52,24,811
387,Mike Muscala,ATL,240,95,30,41,435
388,Larry Nance,LAL,369,96,82,40,449
389,Shabazz Napier,POR,61,67,32,2,218
390,Maurice Ndour,NYK,64,8,15,8,98
391,Gary Neal,ATL,1,1,0,0,4
392,Jameer Nelson,DEN,192,385,53,8,687
393,Raul Neto,UTA,30,34,21,5,100
394,Georges Niang,IND,17,5,3,0,21
395,Andrew Nicholson,TOT,61,10,16,6,100
396,Andrew Nicholson,WAS,34,7,11,6,70
397,Andrew Nicholson,BRK,27,3,5,0,30
398,Joakim Noah,NYK,402,103,30,37,232
399,Nerlens Noel,TOT,294,50,65,51,445
400,Nerlens Noel,PHI,144,30,43,26,257
401,Nerlens Noel,DAL,150,20,22,25,188
402,Lucas Nogueira,TOR,243,42,52,90,253
403,Steve Novak,MIL,3,0,0,0,5
404,Dirk Nowitzki,DAL,353,82,30,38,769
405,Jusuf Nurkic,TOT,467,123,50,74,662
406,Jusuf Nurkic,DEN,260,60,25,36,358
407,Jusuf Nurkic,POR,207,63,25,38,304
408,David Nwaba,LAL,62,14,13,7,120
409,Johnny O'Bryant,TOT,19,6,0,1,38
410,Johnny O'Bryant,DEN,11,2,0,1,20
411,Johnny O'Bryant,CHO,8,4,0,0,18
412,Kyle O'Quinn,NYK,439,117,36,104,496
413,Daniel Ochefu,WAS,22,3,2,0,24
414,Jahlil Okafor,PHI,240,58,20,49,590
415,Victor Oladipo,OKC,291,176,78,21,1067
416,Kelly Olynyk,BOS,360,148,43,29,678
417,Arinze Onuaku,ORL,6,2,0,1,4
418,Chinanu Onuaku,HOU,10,3,3,1,14
419,Kelly Oubre,WAS,260,47,58,17,501
420,Zaza Pachulia,GSW,410,132,59,33,426
421,Georgios Papagiannis,SAC,86,20,3,17,124
422,Jabari Parker,MIL,314,142,51,22,1025
423,Tony Parker,SAS,113,285,33,2,638
424,Chandler Parsons,MEM,84,55,20,5,210
425,Lamar Patterson,ATL,7,6,1,0,9
426,Patrick Patterson,TOR,291,76,40,23,445
427,Chris Paul,LAC,304,563,118,8,1104
428,Adreian Payne,MIN,33,7,8,7,63
429,Cameron Payne,TOT,48,55,14,5,160
430,Cameron Payne,OKC,31,40,10,5,106
431,Cameron Payne,CHI,17,15,4,0,54
432,Elfrid Payton,ORL,387,529,88,40,1046
433,Gary Payton,MIL,12,13,3,4,20
434,Paul Pierce,LAC,48,10,4,5,81
435,Marshall Plumlee,NYK,51,10,4,4,40
436,Mason Plumlee,TOT,606,284,69,92,842
437,Mason Plumlee,POR,433,214,50,63,597
438,Mason Plumlee,DEN,173,70,19,29,245
439,Miles Plumlee,TOT,95,21,18,13,113
440,Miles Plumlee,MIL,53,18,11,9,82
441,Miles Plumlee,CHO,42,3,7,4,31
442,Jakob Poeltl,TOR,165,12,17,20,165
443,Otto Porter,WAS,515,121,116,41,1075
444,Bobby Portis,CHI,296,35,16,11,437
445,Kristaps Porzingis,NYK,475,97,47,130,1196
446,Dwight Powell,DAL,306,49,61,39,516
447,Norman Powell,TOR,168,82,51,14,636
448,Alex Poythress,PHI,29,5,3,2,64
449,Ronnie Price,PHO,11,18,11,1,14
450,Tim Quarterman,POR,14,11,2,3,31
451,Chasson Randle,TOT,32,34,9,2,137
452,Chasson Randle,PHI,5,6,3,1,42
453,Chasson Randle,NYK,27,28,6,1,95
454,Julius Randle,LAL,636,264,49,37,975
455,Zach Randolph,MEM,598,122,38,10,1028
456,J.J. Redick,LAC,171,110,55,13,1173
457,Willie Reed,MIA,332,26,18,47,374
458,Josh Richardson,MIA,168,140,60,39,539
459,Malachi Richardson,SAC,23,11,5,1,79
460,Austin Rivers,LAC,161,204,48,10,889
461,Andre Roberson,OKC,402,79,94,79,522
462,Brian Roberts,CHO,39,52,9,1,142
463,Glenn Robinson,IND,245,47,41,20,419
464,Thomas Robinson,LAL,223,31,26,9,241
465,Sergio Rodriguez,PHI,157,344,48,4,530
466,Rajon Rondo,CHI,355,461,99,11,538
467,Derrick Rose,NYK,246,283,44,17,1154
468,Terrence Ross,TOT,207,88,88,33,858
469,Terrence Ross,TOR,139,45,54,20,559
470,Terrence Ross,ORL,68,43,34,13,299
471,Terry Rozier,BOS,227,131,45,11,410
472,Ricky Rubio,MIN,305,682,128,10,836
473,Damjan Rudez,ORL,25,20,12,1,82
474,Brandon Rush,MIN,99,45,22,23,197
475,D'Angelo Russell,LAL,222,303,87,16,984
476,Domantas Sabonis,OKC,287,82,39,32,479
477,Larry Sanders,CLE,4,0,1,1,4
478,Dario Saric,PHI,513,182,57,30,1040
479,Tomas Satoransky,WAS,83,92,26,6,154
480,Dennis Schroder,ATL,248,499,74,16,1414
481,Luis Scola,BRK,139,37,14,4,184
482,Mike Scott,ATL,37,17,4,3,45
483,Thabo Sefolosha,ATL,270,107,96,31,444
484,Wayne Selden,TOT,16,13,6,1,71
485,Wayne Selden,NOP,5,1,2,0,16
486,Wayne Selden,MEM,11,12,4,1,55
487,Kevin Seraphin,IND,142,23,7,20,232
488,Ramon Sessions,CHO,73,129,26,3,312
489,Iman Shumpert,CLE,219,109,62,27,567
490,Pascal Siakam,TOR,185,17,26,45,229
491,Jonathon Simmons,SAS,160,126,47,25,483
492,Kyle Singler,OKC,48,9,7,5,88
493,Marcus Smart,BOS,306,364,125,34,835
494,Ish Smith,DET,235,418,61,33,758
495,J.R. Smith,CLE,113,62,40,11,351
496,Jason Smith,WAS,258,37,21,55,420
497,Tony Snell,MIL,248,96,54,14,683
498,Marreese Speights,LAC,373,66,23,41,711
499,Tiago Splitter,PHI,22,4,1,1,39
500,Nik Stauskas,PHI,226,188,45,32,756
501,Lance Stephenson,TOT,52,59,5,3,122
502,Lance Stephenson,NOP,18,29,2,1,58
503,Lance Stephenson,MIN,10,5,0,0,21
504,Lance Stephenson,IND,24,25,3,2,43
505,Jarnell Stokes,DEN,2,2,1,0,3
506,Diamond Stone,LAC,6,0,0,1,10
507,Rodney Stuckey,IND,84,84,16,0,281
